strain_run_1,stress_run_1,eng_strain_run_1
0.0,0.0,0.0
0.0030505134418490343,2.304595,2.5706865462923344e-05
0.006946120265638456,2.37349875,4.815685465795769e-05
0.010872319398913532,2.4219215,7.153649858798782e-05
0.014817593910265714,2.46169375,9.54727441447491e-05
0.020753650460392237,2.5122325,0.000132092078797362
0.029659585561603308,2.5758635,0.00018808810801694895
0.042971764924004674,2.65537775,0.00027353881082454453
0.06280883681029081,2.75423025,0.0004036803505824344
0.09229828719981015,2.87666075,0.0006014753548303751
0.136081175878644,3.0279535,0.0009016070638551361
0.20106348674744368,3.21465125,0.0013564317160621505
0.2975648967549205,3.44491,0.0020449630014129044
0.44107474386692047,3.728918,0.003086383676561564
0.6549439858645201,4.07943125,0.004660499987548115
0.9745685383677483,4.5124945,0.007038724030767692
1.4539698138833046,5.04841,0.010631410643370367
2.047562412917614,5.603507,0.015091073885376706
2.6451408863067627,6.0874245,0.019575940448732124
3.2473746687173843,6.523494,0.024083124998018266
3.854707255959511,6.924631,0.028610998887466047
4.467460140585899,7.2988705,0.03315864358185314
5.0858840346336365,7.651613,0.03772556761602365
5.7101864367723465,7.9866945,0.04231156487985859
6.340547651052475,8.3069615,0.04691663684000768
6.977132707834244,8.614588,0.05154095197785792
7.6200932264328,8.911288,0.05618482058149154
8.269575983285904,9.198435,0.06084867751255163
8.925722539424896,9.477155,0.0655330787229491
9.588672965765,9.748383,0.07023869382994852
10.258567333221436,10.012907,0.07496630446618702
10.935544967651367,10.271397,0.07971680015472211
11.619749665260315,10.524434,0.08449118243398396
12.311326712369919,10.772518,0.08929055807452033
13.010425865650177,11.016085,0.09411614164563381
13.717198371887207,11.255521,0.09896924836546418
14.431804418563843,11.491162,0.10385129941759381
15.154403448104858,11.723312,0.10876380875120013
15.286025404930115,11.764993,0.10965510113824775
