1.2e+08,1e+08,0.05,0.0001,0.8
1.2e+08,1e+08,0.05,0.0001,2
1.2e+08,1e+08,0.05,0.003511,0.8
1.2e+08,1e+08,0.05,0.003511,2
1.2e+08,1e+08,0.5195,0.0001,0.8
1.2e+08,1e+08,0.5195,0.0001,2
1.2e+08,1e+08,0.5195,0.003511,0.8
1.2e+08,1e+08,0.5195,0.003511,2
1.2e+08,3.98e+08,0.05,0.0001,0.8
1.2e+08,3.98e+08,0.05,0.0001,2
1.2e+08,3.98e+08,0.05,0.003511,0.8
1.2e+08,3.98e+08,0.05,0.003511,2
1.2e+08,3.98e+08,0.5195,0.0001,0.8
1.2e+08,3.98e+08,0.5195,0.0001,2
1.2e+08,3.98e+08,0.5195,0.003511,0.8
1.2e+08,3.98e+08,0.5195,0.003511,2
3.6e+08,1e+08,0.05,0.0001,0.8
3.6e+08,1e+08,0.05,0.0001,2
3.6e+08,1e+08,0.05,0.003511,0.8
3.6e+08,1e+08,0.05,0.003511,2
3.6e+08,1e+08,0.5195,0.0001,0.8
3.6e+08,1e+08,0.5195,0.0001,2
3.6e+08,1e+08,0.5195,0.003511,0.8
3.6e+08,1e+08,0.5195,0.003511,2
3.6e+08,3.98e+08,0.05,0.0001,0.8
3.6e+08,3.98e+08,0.05,0.0001,2
3.6e+08,3.98e+08,0.05,0.003511,0.8
3.6e+08,3.98e+08,0.05,0.003511,2
3.6e+08,3.98e+08,0.5195,0.0001,0.8
3.6e+08,3.98e+08,0.5195,0.0001,2
3.6e+08,3.98e+08,0.5195,0.003511,0.8
3.6e+08,3.98e+08,0.5195,0.003511,2
